City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,56.91,85,90,1.99,overcast clouds
1,Yellowknife,CA,62.456,-114.3525,33.42,99,90,13.8,overcast clouds
2,Barrow,US,71.2906,-156.7887,21.22,86,1,14.97,clear sky
3,Tasiilaq,GL,65.6145,-37.6368,24.96,58,3,7.52,clear sky
4,Hermanus,ZA,-34.4187,19.2345,62.8,79,100,12.1,overcast clouds
5,Marsa Matruh,EG,31.3525,27.2453,64.6,68,0,9.22,clear sky
6,Cape Town,ZA,-33.9258,18.4232,61.09,82,75,3.0,light rain
7,Rabat,MA,33.9911,-6.8401,68.07,87,75,4.61,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,73.09,77,100,17.29,overcast clouds
9,Albany,US,42.6001,-73.9662,55.09,81,71,9.89,broken clouds
10,Yulin,CN,22.6333,110.15,75.06,78,85,5.53,overcast clouds
11,Saskylakh,RU,71.9167,114.0833,3.61,97,98,6.06,overcast clouds
12,Avarua,CK,-21.2078,-159.775,77.05,69,75,13.8,light intensity drizzle
13,Coquimbo,CL,-29.9533,-71.3436,56.93,88,75,3.44,broken clouds
14,Kodiak,US,57.79,-152.4072,42.13,90,100,4.74,overcast clouds
15,Samana,DO,19.2056,-69.3369,76.23,88,43,5.17,scattered clouds
16,Punta Arenas,CL,-53.15,-70.9167,50.11,57,0,8.05,clear sky
17,Clyde River,CA,70.4692,-68.5914,20.17,88,100,7.14,overcast clouds
18,Sheksna,RU,59.21,38.5107,37.67,96,88,7.58,overcast clouds
19,Saint-Philippe,RE,-21.3585,55.7679,70.21,84,66,10.09,broken clouds
20,Ukiah,US,39.1502,-123.2078,58.44,84,90,9.22,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,57.34,62,100,9.4,overcast clouds
22,Busselton,AU,-33.65,115.3333,60.04,56,73,20.83,broken clouds
23,Ushuaia,AR,-54.8,-68.3,46.06,71,0,3.44,clear sky
24,Kyle,US,29.9984,-97.8715,70.29,70,0,6.46,clear sky
25,Mantua,IT,45.1667,10.7833,54.64,89,85,3.71,overcast clouds
26,Longyearbyen,SJ,78.2186,15.6401,33.64,69,40,18.41,scattered clouds
27,Codrington,AU,-38.2667,141.9667,63.61,66,0,10.94,clear sky
28,Senahu,GT,15.4,-89.8333,58.35,91,70,1.5,broken clouds
29,Kaitangata,NZ,-46.2817,169.8464,62.29,50,95,12.64,overcast clouds
30,Aklavik,CA,68.2191,-135.0107,32.83,89,100,7.05,overcast clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,69.08,91,41,6.6,scattered clouds
32,Georgetown,MY,5.4112,100.3354,84.15,79,20,3.0,few clouds
33,Kieta,PG,-6.2167,155.6333,80.87,83,100,3.6,light rain
34,Can,TR,40.0333,27.0524,59.29,95,77,1.92,broken clouds
35,Saint George,US,37.1041,-113.5841,68.95,43,1,1.99,clear sky
36,Bredasdorp,ZA,-34.5322,20.0403,62.28,77,100,8.05,overcast clouds
37,Mar Del Plata,AR,-38.0023,-57.5575,55.09,91,90,1.01,light rain
38,Chokurdakh,RU,70.6333,147.9167,-7.78,98,92,7.14,overcast clouds
